ลำดับ,คำถาม,คำตอบ,คีเวดหลัก,คำที่มีโอกาสพิมพ์ผิด,หมายเหตุ
258,คำสำคัญ (Keywords) ในบทคัดย่อภาษาไทย ต้องพิมพ์ไว้ตรงไหนคะ,"ให้พิมพ์คำว่า ""คำสำคัญ :"" ไว้ที่ท้ายบทคัดย่อ โดยเว้น 1 บรรทัดจากข้อความที่ระบุจำนวนหน้าวิทยานิพนธ์","คำสำคัญ, Keywords, ท้ายบทคัดย่อ","คีเวิด, คีย์เวิร์ด",ภาคผนวก ก หน้า 85
259,"คำว่า ""ประวัติผู้วิจัย"" ในหน้าประวัติผู้วิจัย พิมพ์ตรงไหนและใช้ฟอนต์ขนาดเท่าไหร่ครับ","ให้พิมพ์คำว่า ""ประวัติผู้วิจัย"" ไว้กลางหน้ากระดาษ โดยใช้ตัวอักษรขนาด 16 พอยต์ ตัวหนา (Bold) ","ประวัติผู้วิจัย, กลางหน้ากระดาษ, ขนาดฟอนต์, 16 พอยต์","ประวัติ, ฟ้อน",บทที่ 2 หน้า 15
260,ตารางที่อ้างอิงมาจากแหล่งอื่น ต้องพิมพ์ที่มาไว้ตรงไหนของตารางคะ,ตารางที่อ้างอิงจากแหล่งอื่น ให้เขียนอ้างอิงแหล่งที่มาไว้ที่ท้ายตารางครับ เช่น ที่มา : บุญเสริม (2551),"ตาราง, อ้างอิงแหล่งอื่น, ที่มา, ท้ายตาราง","ที่มาตาราง, อ้างอิงตาราง",บทที่ 3 หน้า 20
261,การอ้างอิงมาตรฐานผลิตภัณฑ์อุตสาหกรรม รูปแบบ APA เขียนบรรณานุกรมอย่างไรคะ,ให้เขียนในรูปแบบ: สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม. (ปีที่ออกประกาศ). ชื่อมาตรฐานผลิตภัณฑ์อุตสาหกรรม. เลขที่ มอก. ,"บรรณานุกรม, มาตรฐานผลิตภัณฑ์อุตสาหกรรม, มอก., APA","อ้างอิงมาตรฐาน, อ้างอิงมอก",บทที่ 3 หน้า 45
262,การเขียนบรรณานุกรมแบบ MLA นิยมใช้กับงานด้านไหนครับ,แบบ MLA (Modern Language Association) นิยมใช้เขียนกันในงานด้านมนุษยศาสตร์ โดยเฉพาะด้านภาษาและวรรณคดี ,"บรรณานุกรม, MLA, มนุษยศาสตร์, ภาษาและวรรณคดี","แบบเอ็มแอลเอ, อ้างอิง MLA",บทที่ 3 หน้า 28
263,การเขียนบรรณานุกรมหนังสือแบบ MLA ผู้แต่ง 1 คน เขียนยังไงคะ,"ให้เขียนในรูปแบบ: ชื่อผู้แต่ง. ชื่อเรื่อง. ครั้งที่พิมพ์. จำนวนเล่ม. สถานที่พิมพ์ : โรงพิมพ์, ปีที่พิมพ์. ","บรรณานุกรม, MLA, หนังสือ, ผู้แต่ง 1 คน","อ้างอิงหนังสือ, เอ็มแอลเอ",บทที่ 3 หน้า 46
264,ถ้าเขียนบรรณานุกรมแบบ MLA ผู้แต่ง 2 คน ต้องใช้คำเชื่อมยังไงครับ,"ให้ใช้คำว่า ""และ"" หรือ ""and"" เชื่อมระหว่างชื่อผู้แต่งคนที่ 1 และคนที่ 2 ","บรรณานุกรม, MLA, ผู้แต่ง 2 คน, คำเชื่อม",อ้างอิงผู้แต่งสองคน,บทที่ 3 หน้า 46
265,เขียนบรรณานุกรมแบบ MLA ผู้แต่ง 3 คน เขียนยังไงคะ,"ให้ลงชื่อผู้แต่งทั้ง 3 คน โดยใช้เครื่องหมายจุลภาค (,) คั่นระหว่างคนที่ 1 และ 2 และใช้คำว่า ""และ"" หรือ ""and"" ก่อนชื่อคนที่ 3 ","บรรณานุกรม, MLA, ผู้แต่ง 3 คน",อ้างอิงผู้แต่งสามคน,บทที่ 3 หน้า 46
266,ถ้าหนังสือมีผู้แต่งตั้งแต่ 4 คนขึ้นไป เขียนบรรณานุกรมแบบ MLA ยังไงครับ,"ให้ลงชื่อผู้แต่งคนแรก ตามด้วยคำว่า ""และคนอื่น ๆ"" หรือ ""และคณะ"" (ภาษาอังกฤษใช้ et al. หรือ and others) ","บรรณานุกรม, MLA, ผู้แต่ง 4 คน, และคณะ",อ้างอิงผู้แต่งหลายคน,บทที่ 3 หน้า 47
267,การเขียนบรรณานุกรมแบบ MLA สำหรับผู้แต่งที่เป็นนิติบุคคล เขียนยังไงคะ,"ให้เขียนในรูปแบบ: ชื่อนิติบุคคล, ฐานะของหน่วยงาน. ชื่อหนังสือ. ครั้งที่พิมพ์. สถานที่พิมพ์ : โรงพิมพ์, ปีที่พิมพ์. ","บรรณานุกรม, MLA, นิติบุคคล, หน่วยงาน","อ้างอิงหน่วยงาน, อ้างอิงนิติบุคคล",บทที่ 3 หน้า 47
268,ถ้าผู้แต่งคนเดียวกัน เขียนหนังสือหลายเล่มในปีเดียวกัน บรรณานุกรมแบบ MLA ต้องทำยังไงครับ,"ให้เขียนชื่อผู้แต่งเฉพาะเล่มแรก เล่มต่อ ๆ ไปให้ขีดเส้นใต้ยาว 1.5 เซนติเมตร แล้วตามด้วยเครื่องหมายมหัพภาค (.) และใส่ตัวอักษร ก, ข, ค หรือ a, b, c กำกับไว้ที่ปีที่พิมพ์ด้วย","บรรณานุกรม, MLA, ผู้แต่งคนเดียวกัน, ปีเดียวกัน",อ้างอิงผู้แต่งซ้ำ,บทที่ 3 หน้า 48
269,หนังสือที่ไม่ปรากฏชื่อผู้แต่ง มีแต่บรรณาธิการ เขียนบรรณานุกรมแบบ MLA ยังไงคะ,"ให้เขียนในรูปแบบ: ชื่อบรรณาธิการ. (บรรณาธิการ). ชื่อหนังสือ. ครั้งที่พิมพ์. สถานที่พิมพ์ : โรงพิมพ์, ปีที่พิมพ์. ","บรรณานุกรม, MLA, บรรณาธิการ, ไม่มีชื่อผู้แต่ง",อ้างอิงบรรณาธิการ,บทที่ 3 หน้า 48
270,หนังสือที่ไม่ปรากฏชื่อผู้แต่งเลย เขียนบรรณานุกรมแบบ MLA ยังไงครับ,"ให้เขียนในรูปแบบ: ชื่อหนังสือ. ครั้งที่พิมพ์. สถานที่พิมพ์ : โรงพิมพ์, ปีที่พิมพ์. ","บรรณานุกรม, MLA, ไม่ปรากฏชื่อผู้แต่ง",อ้างอิงไม่มีชื่อผู้แต่ง,บทที่ 3 หน้า 49
271,ถ้าหนังสือไม่ปรากฏสถานที่พิมพ์และสำนักพิมพ์ ในบรรณานุกรมแบบ MLA ต้องเขียนยังไงคะ,ภาษาไทยให้ระบุ (ม.ป.ท.) ส่วนภาษาอังกฤษให้ระบุ (n.p.) ,"บรรณานุกรม, MLA, ไม่ปรากฏสถานที่พิมพ์, ม.ป.ท.",อ้างอิงไม่มีสถานที่พิมพ์,บทที่ 3 หน้า 49
272,ถ้าหนังสือไม่ปรากฏปีที่พิมพ์ ในบรรณานุกรมแบบ MLA ต้องเขียนยังไงครับ,ภาษาไทยให้ระบุ (ม.ป.ป.) ส่วนภาษาอังกฤษให้ระบุ (n.d.) ,"บรรณานุกรม, MLA, ไม่ปรากฏปีที่พิมพ์, ม.ป.ป.",อ้างอิงไม่มีปีที่พิมพ์,บทที่ 3 หน้า 49
273,การอ้างอิงสองทอดแบบ MLA (ระบุชื่อผู้แต่งที่นำผลงานผู้อื่นมาอ้างอิง) เขียนยังไงคะ,"ให้ระบุชื่อผู้แต่งเอกสารอันดับรอง ตามด้วยคำว่า ""อ้างถึง"" หรือ ""cited"" แล้วระบุชื่อผู้แต่งเอกสารอันดับแรก ","บรรณานุกรม, MLA, อ้างอิงสองทอด, อ้างถึง","อ้างอิงต่อ, อ้างอิงซ้อน",บทที่ 3 หน้า 49
274,การอ้างอิงสองทอดแบบ MLA (ระบุชื่อผู้แต่งต้นฉบับ) เขียนยังไงครับ,"ให้ระบุชื่อผู้แต่งเอกสารอันดับแรก ตามด้วยคำว่า ""อ้างถึงใน"" หรือ ""cited in"" แล้วระบุชื่อผู้แต่งเอกสารอันดับรอง","บรรณานุกรม, MLA, อ้างอิงสองทอด, อ้างถึงใน","อ้างอิงต่อ, อ้างอิงซ้อน",บทที่ 3 หน้า 50
275,การเขียนบรรณานุกรมแบบ MLA สำหรับหนังสือแปล เขียนยังไงคะ,"ให้เขียนในรูปแบบ: ชื่อผู้แต่งดั้งเดิม. ชื่อหนังสือฉบับแปล. แปลโดย ชื่อผู้แปล. ครั้งที่พิมพ์. สถานที่พิมพ์ : โรงพิมพ์, ปีที่พิมพ์ฉบับแปล. ","บรรณานุกรม, MLA, หนังสือแปล",อ้างอิงหนังสือแปล,บทที่ 3 หน้า 50
276,การอ้างอิงราชกิจจานุเบกษา รูปแบบ MLA เขียนบรรณานุกรมยังไงครับ,"ให้เขียนในรูปแบบ: ราชกิจจานุเบกษา. ชื่อกฎ, ระเบียบ, ประกาศ, ข้อบังคับ, คำสั่ง. ชื่อเรื่อง. เล่ม ตอนที่ วัน เดือน ปีที่ประกาศใช้ : เลขหน้า. ","บรรณานุกรม, MLA, ราชกิจจานุเบกษา",อ้างอิงราชกิจจานุเบกษา,บทที่ 3 หน้า 51
277,อ้างอิงวิทยานิพนธ์แบบ MLA เขียนบรรณานุกรมยังไงคะ,"ให้เขียนในรูปแบบ: ชื่อผู้แต่ง. ชื่อเรื่องวิทยานิพนธ์. ระดับวิทยานิพนธ์ สาขาวิชา ภาควิชา คณะ มหาวิทยาลัย/สถาบัน, ปีที่พิมพ์. ","บรรณานุกรม, MLA, วิทยานิพนธ์","อ้างอิงวิทยานิพนธ์, อ้างอิงวิจัย",บทที่ 3 หน้า 52
278,อ้างอิงการสัมภาษณ์แบบ MLA เขียนบรรณานุกรมยังไงครับ,ให้เขียนในรูปแบบ: ชื่อผู้ให้สัมภาษณ์. ตำแหน่งผู้ให้สัมภาษณ์. สัมภาษณ์. วัน เดือน ปีที่สัมภาษณ์. ,"บรรณานุกรม, MLA, สัมภาษณ์","อ้างอิงสัมภาษณ์, อ้างอิงการคุย",บทที่ 3 หน้า 53
279,บทความในหนังสือรวบรวมบทความ รูปแบบ MLA เขียนบรรณานุกรมยังไงคะ,"ให้เขียนในรูปแบบ: ชื่อผู้แต่ง. ""ชื่อบทความ."" ชื่อหนังสือ. เลขหน้า. สถานที่พิมพ์ : โรงพิมพ์, ปีที่พิมพ์. ","บรรณานุกรม, MLA, บทความในหนังสือ",อ้างอิงบทความ,บทที่ 3 หน้า 53
280,บทความจากวารสาร รูปแบบ MLA เขียนบรรณานุกรมยังไงครับ,"ให้เขียนในรูปแบบ: ชื่อผู้แต่ง. ""ชื่อบทความ."" ชื่อวารสารและจุลสาร. ปีที่หรือเล่มที่ ฉบับที่ (ปีที่พิมพ์) : เลขหน้า. ","บรรณานุกรม, MLA, วารสาร, จุลสาร",อ้างอิงวารสาร,บทที่ 3 หน้า 54
281,บทความในหนังสือพิมพ์ รูปแบบ MLA เขียนบรรณานุกรมยังไงคะ,"ให้เขียนในรูปแบบ: ชื่อผู้เขียน. ""ชื่อบทความหรือชื่อข่าว."" ชื่อหนังสือพิมพ์. (วัน เดือน ปีที่พิมพ์) : เลขหน้า. ","บรรณานุกรม, MLA, หนังสือพิมพ์","อ้างอิงหนังสือพิมพ์, อ้างอิงข่าว",บทที่ 3 หน้า 54
282,บทความในสารานุกรม รูปแบบ MLA เขียนบรรณานุกรมยังไงครับ,"ให้เขียนในรูปแบบ: ชื่อผู้แต่ง. ""ชื่อบทความ."" ชื่อสารานุกรม. เล่มที่. (ปีที่พิมพ์) : เลขหน้า. ","บรรณานุกรม, MLA, สารานุกรม",อ้างอิงสารานุกรม,บทที่ 3 หน้า 55
283,บทวิจารณ์หนังสือ รูปแบบ MLA เขียนบรรณานุกรมยังไงคะ,ให้เขียนในรูปแบบ: ผู้เขียนวิจารณ์. วิจารณ์เรื่อง ชื่อหนังสือที่วิจารณ์. โดย ชื่อผู้แต่ง. ชื่อวารสาร. ปีที่ (เดือน ปีที่พิมพ์) : เลขหน้า. ,"บรรณานุกรม, MLA, บทวิจารณ์หนังสือ",อ้างอิงบทวิจารณ์,บทที่ 3 หน้า 55
284,รายงานการประชุมวิชาการ รูปแบบ MLA เขียนบรรณานุกรมยังไงครับ,"ให้เขียนในรูปแบบ: ชื่อผู้จัดทำหรือบรรณาธิการ. ชื่อหนังสือ ชื่อการประชุม. สถานที่พิมพ์ : โรงพิมพ์, ปีที่พิมพ์. ","บรรณานุกรม, MLA, รายงานการประชุม, Proceedings","อ้างอิงงานประชุม, อ้างอิงสัมมนา",บทที่ 3 หน้า 55
285,บทความที่เผยแพร่บนอินเทอร์เน็ต รูปแบบ MLA เขียนบรรณานุกรมยังไงคะ,"ให้เขียนในรูปแบบ: ชื่อผู้แต่ง. ""ชื่อเรื่อง."" ชื่อวารสาร. [วารสารออนไลน์] ปีที่ออนไลน์. [สืบค้นวัน เดือน ปีที่อ้าง]. จาก URL ","บรรณานุกรม, MLA, บทความอินเทอร์เน็ต, วารสารออนไลน์","อ้างอิงเว็บ, อ้างอิงออนไลน์",บทที่ 3 หน้า 57
286,ข้อมูลจากเว็บไซต์หน่วยงาน รูปแบบ MLA เขียนบรรณานุกรมยังไงครับ,ให้เขียนในรูปแบบ: ชื่อผู้แต่ง. ชื่อเรื่อง. [ออนไลน์] ปีที่ออนไลน์. [สืบค้นวัน เดือน ปีที่อ้าง]. จาก URL ,"บรรณานุกรม, MLA, เว็บไซต์หน่วยงาน, ออนไลน์",อ้างอิงเว็บไซต์หน่วยงาน,บทที่ 3 หน้า 59
287,สิทธิบัตร รูปแบบ MLA เขียนบรรณานุกรมยังไงคะ,ให้เขียนในรูปแบบ: ชื่อผู้จดสิทธิบัตร. ชื่อวิธีหรือสิ่งประดิษฐ์. ประเทศที่จดสิทธิบัตร หมายเลขของสิทธิบัตร. วัน เดือน ปีที่ได้รับการจดสิทธิบัตร. ,"บรรณานุกรม, MLA, สิทธิบัตร",อ้างอิงสิทธิบัตร,บทที่ 3 หน้า 60
288,ลิขสิทธิ์ รูปแบบ MLA เขียนบรรณานุกรมยังไงครับ,ให้เขียนในรูปแบบ: ชื่อผู้ขอจดลิขสิทธิ์. ชื่อผลงาน. ประเทศที่จดลิขสิทธิ์ ทะเบียนข้อมูลเลขที่ลิขสิทธิ์. วัน เดือน ปีที่ได้รับการจดลิขสิทธิ์. ,"บรรณานุกรม, MLA, ลิขสิทธิ์",อ้างอิงลิขสิทธิ์,บทที่ 3 หน้า 61
289,แผนที่ภาพถ่ายทางอากาศ รูปแบบ MLA เขียนบรรณานุกรมยังไงคะ,ให้เขียนในรูปแบบ: ชื่อผู้จัดทำ. ชื่อแผนที่. ปีที่พิมพ์. มาตราส่วน. ,"บรรณานุกรม, MLA, แผนที่ภาพถ่ายทางอากาศ",อ้างอิงแผนที่,บทที่ 3 หน้า 61
290,ประกาศหรือคำสั่ง รูปแบบ MLA เขียนบรรณานุกรมยังไงครับ,ให้เขียนในรูปแบบ: ชื่อหน่วยงาน. ชื่อเอกสาร. วัน เดือน ปีที่ประกาศ หรือมีคำสั่ง. ,"บรรณานุกรม, MLA, ประกาศ, คำสั่ง","อ้างอิงประกาศ, อ้างอิงคำสั่ง",บทที่ 3 หน้า 62
291,มาตรฐานผลิตภัณฑ์อุตสาหกรรม รูปแบบ MLA เขียนบรรณานุกรมยังไงคะ,ให้เขียนในรูปแบบ: สำนักงานมาตรฐานผลิตภัณฑ์อุตสาหกรรม. ชื่อมาตรฐานผลิตภัณฑ์อุตสาหกรรม. เลขที่ มอก. (ปีที่ออกประกาศ). ,"บรรณานุกรม, MLA, มาตรฐานผลิตภัณฑ์อุตสาหกรรม, มอก.","อ้างอิงมอก, อ้างอิงมาตรฐาน",บทที่ 3 หน้า 63
292,ภาคผนวกต้องพิมพ์ไว้ส่วนไหนของเล่มวิทยานิพนธ์ครับ,การพิมพ์ภาคผนวกให้พิมพ์ในหน้าถัดจากภาคเอกสารอ้างอิง,"ภาคผนวก, ตำแหน่งภาคผนวก",พิมพ์ภาคผนวกตรงไหน,บทที่ 3 หน้า 64
293,ถ้ามีภาคผนวกเดียว ต้องเขียนชื่อภาคผนวกยังไงคะ,"ถ้าภาคผนวกมีภาคเดียว ให้ใช้คำว่า ""ภาคผนวก ก"" หรือ ""APPENDIX A"" โดยพิมพ์อยู่กลางหน้ากระดาษ","ภาคผนวก, ภาคผนวกเดียว, APPENDIX A",เขียนภาคผนวกยังไง,บทที่ 3 หน้า 64
294,ถ้ามีภาคผนวกหลายภาค ต้องเขียนชื่อยังไงครับ,"ถ้ามีหลายภาค ให้ใช้เป็น ภาคผนวก ก, ภาคผนวก ข ฯลฯ หรือ APPENDIX A, APPENDIX B ฯลฯ ตามลำดับ และให้ขึ้นหน้าใหม่เมื่อขึ้นภาคผนวกใหม่","ภาคผนวก, หลายภาค, APPENDIX",เขียนภาคผนวกหลายอัน,บทที่ 3 หน้า 64
295,การทำสำเนาวิทยานิพนธ์ใช้วิธีไหนได้บ้างคะ,การทำสำเนาให้ใช้วิธีอัดสำเนาโรเนียว ถ่ายเอกสาร พิมพ์ออฟเซ็ต หรือวิธีอื่น ๆ ที่ให้ความชัดเจนและถูกต้องเช่นเดียวกับต้นฉบับ,"การทำสำเนา, ถ่ายเอกสาร, พิมพ์ออฟเซ็ต","ก๊อปปี้เล่ม, ซีร็อกซ์",บทที่ 3 หน้า 64
296,ลายเซ็นในใบรับรองวิทยานิพนธ์ต้องใช้หมึกสีอะไรครับ,ต้องมีลายมือชื่อจริงของคณะกรรมการสอบวิทยานิพนธ์และอาจารย์ที่ปรึกษาหลัก ด้วยปากกาหมึกสีดำเท่านั้น,"ใบรับรองวิทยานิพนธ์, ลายเซ็น, หมึกสีดำ","เซ็นชื่อสีอะไร, ปากกาสีอะไร",บทที่ 3 หน้า 64
297,ปกนอกและปกในของวิทยานิพนธ์ ถ้าชื่อเรื่องยาวเกิน 1 บรรทัด ต้องจัดหน้ายังไงคะ,กรณีที่หัวข้อวิทยานิพนธ์มีหลายบรรทัด ต้องพิมพ์จัดรูปแบบเป็นรูปสามเหลี่ยมชี้ลง (ไม่ใช่สามเหลี่ยมชี้ขึ้น) ,"ปกนอก, ปกใน, ชื่อเรื่องยาว, สามเหลี่ยมชี้ลง","จัดหน้าปก, ชื่อเรื่องหลายบรรทัด",ภาคผนวก ก หน้า 66
298,ในใบรับรองวิทยานิพนธ์ ตำแหน่งทางวิชาการของกรรมการต้องเขียนตัวย่อหรือตัวเต็มครับ,"ต้องพิมพ์ตำแหน่งทางวิชาการด้วยคำเต็มครับ เช่น ศาสตราจารย์, รองศาสตราจารย์, ผู้ช่วยศาสตราจารย์, อาจารย์ เป็นต้น","ใบรับรองวิทยานิพนธ์, ตำแหน่งทางวิชาการ, คำเต็ม","เขียนตัวย่อได้ไหม, ยศอาจารย์",ภาคผนวก ก หน้า 70
299,ถ้ามีคณะกรรมการสอบวิทยานิพนธ์ 3 คน ต้องจัดรูปแบบใบรับรองยังไงคะ,"ให้มีช่องลงนามสำหรับ ประธานกรรมการ, คณบดีบัณฑิตวิทยาลัย และกรรมการอีก 2 ท่าน ตามแบบฟอร์มของบัณฑิตวิทยาลัย","ใบรับรองวิทยานิพนธ์, คณะกรรมการ 3 คน","กรรมการสามคน, แบบฟอร์มใบรับรอง",ภาคผนวก ก หน้า 70
300,"การเว้นบรรทัดระหว่างคำว่า ""บทคัดย่อ"" กับเนื้อหาบทคัดย่อ ต้องเว้นกี่บรรทัดครับ","ให้พิมพ์คำว่า ""บทคัดย่อ"" กลางหน้ากระดาษ แล้วเว้น 1 บรรทัดก่อนเริ่มพิมพ์เนื้อหาบทคัดย่อ","บทคัดย่อ, การเว้นบรรทัด","เว้นกี่บรรทัด, บดคัดย่อ",ภาคผนวก ก หน้า 85
301,คำสำคัญ (Keywords) ในบทคัดย่อภาษาไทย ต้องเว้นระยะจากบรรทัดสุดท้ายกี่บรรทัดคะ,"ให้เว้น 1 บรรทัดจากข้อความที่ระบุจำนวนหน้าวิทยานิพนธ์ แล้วพิมพ์คำว่า ""คำสำคัญ :"" ","บทคัดย่อ, คำสำคัญ, Keywords, การเว้นบรรทัด","คีเวิด, คีย์เวิร์ด",ภาคผนวก ก หน้า 85
302,การตั้งชื่อไฟล์ข้อมูลวิทยานิพนธ์ สำหรับส่วนปก ต้องตั้งชื่อไฟล์ว่าอะไรครับ,"สำหรับส่วนปก ให้ตั้งชื่อไฟล์ว่า ""01_cov.doc"" ","ไฟล์ข้อมูลวิทยานิพนธ์, ชื่อไฟล์, ส่วนปก","ตั้งชื่อไฟล์ปก, เซฟไฟล์ปก",ภาคผนวก ข หน้า 127
303,ไฟล์บทคัดย่อภาษาไทยและภาษาอังกฤษ ต้องตั้งชื่อไฟล์ว่าอะไรคะ,"บทคัดย่อทั้งภาษาไทยและภาษาอังกฤษ ให้อยู่ในไฟล์เดียวกัน ตั้งชื่อไฟล์ว่า ""02_abs.doc"" ","ไฟล์ข้อมูลวิทยานิพนธ์, ชื่อไฟล์, บทคัดย่อ","ตั้งชื่อไฟล์บทคัดย่อ, เซฟไฟล์",ภาคผนวก ข หน้า 127
304,ไฟล์กิตติกรรมประกาศ ต้องตั้งชื่อไฟล์ว่าอะไรครับ,"สำหรับกิตติกรรมประกาศ ให้ตั้งชื่อไฟล์ว่า ""03_ack.doc"" ","ไฟล์ข้อมูลวิทยานิพนธ์, ชื่อไฟล์, กิตติกรรมประกาศ","ตั้งชื่อไฟล์กิตติกรรม, เซฟไฟล์",ภาคผนวก ข หน้า 127
305,สารบัญ สารบัญตาราง สารบัญภาพ ต้องแยกไฟล์กันไหมคะ,"ไม่ต้องแยกครับ สารบัญ, สารบัญตาราง, สารบัญภาพ และคำอธิบายสัญลักษณ์ ให้รวมอยู่ในไฟล์เดียวกัน ตั้งชื่อไฟล์ว่า ""04_tbc.doc"" ","ไฟล์ข้อมูลวิทยานิพนธ์, ชื่อไฟล์, สารบัญ","ตั้งชื่อไฟล์สารบัญ, เซฟไฟล์สารบัญ",ภาคผนวก ข หน้า 127
306,ไฟล์เนื้อหาบทที่ 1 ถึงบทที่ 5 ต้องตั้งชื่อไฟล์ยังไงครับ,"ให้ตั้งชื่อไฟล์ตามจำนวนบทที่มีและเรียงตามลำดับ เช่น ""05_ch1.doc"", ""05_ch2.doc"", ""05_ch3.doc"", ""05_ch4.doc"", ""05_ch5.doc"" ","ไฟล์ข้อมูลวิทยานิพนธ์, ชื่อไฟล์, เนื้อหาบท","ตั้งชื่อไฟล์บท, เซฟไฟล์เนื้อหา",ภาคผนวก ข หน้า 127
307,ไฟล์บรรณานุกรมหรือเอกสารอ้างอิง ต้องตั้งชื่อไฟล์ว่าอะไรคะ,"สำหรับบรรณานุกรมหรือเอกสารอ้างอิง ให้ตั้งชื่อไฟล์ว่า ""06_ref.doc"" ","ไฟล์ข้อมูลวิทยานิพนธ์, ชื่อไฟล์, บรรณานุกรม","ตั้งชื่อไฟล์อ้างอิง, เซฟไฟล์บรรณานุกรม",ภาคผนวก ข หน้า 127
308,ไฟล์ภาคผนวก ต้องตั้งชื่อไฟล์ยังไงครับ,"ให้ตั้งชื่อไฟล์ตามจำนวนภาคผนวกและเรียงตามลำดับ เช่น ""07_app1.doc"", ""07_app2.doc"", ""07_app3.doc"" ","ไฟล์ข้อมูลวิทยานิพนธ์, ชื่อไฟล์, ภาคผนวก","ตั้งชื่อไฟล์ภาคผนวก, เซฟไฟล์",ภาคผนวก ข หน้า 127
309,ไฟล์ประวัติผู้วิจัย ต้องตั้งชื่อไฟล์ว่าอะไรคะ,"สำหรับประวัติผู้วิจัย ให้ตั้งชื่อไฟล์ว่า ""08_bio.doc"" ","ไฟล์ข้อมูลวิทยานิพนธ์, ชื่อไฟล์, ประวัติผู้วิจัย","ตั้งชื่อไฟล์ประวัติ, เซฟไฟล์",ภาคผนวก ข หน้า 127
310,การส่งแผ่นซีดีบันทึกข้อมูลวิทยานิพนธ์ ต้องบันทึกไฟล์นามสกุลอะไรบ้างครับ,ให้นักศึกษาบันทึกข้อมูลเป็นไฟล์นามสกุล .doc และ .pdf ,"ไฟล์ข้อมูลวิทยานิพนธ์, นามสกุลไฟล์, แผ่นซีดี","เซฟไฟล์อะไร, ไฟล์นามสกุลไหน",ภาคผนวก ข หน้า 127
311,ปกนอกและปกใน ถ้าชื่อเรื่องยาวหลายบรรทัด ต้องจัดเรียงเป็นรูปอะไรคะ,กรณีที่หัวข้อวิทยานิพนธ์มีความยาวหลายบรรทัด ให้จัดรูปแบบการพิมพ์ข้อความเรียงเป็นรูปสามเหลี่ยมชี้ลง,"รูปแบบปก, ปกนอก, ปกใน, สามเหลี่ยมชี้ลง","สามเหลี่ยม, จัดหน้าปก",ภาคผนวก ก หน้า 66
312,ปกในภาษาอังกฤษ ตัวอักษรต้องเป็นพิมพ์เล็กหรือพิมพ์ใหญ่ครับ,ข้อความบนปกในภาษาอังกฤษ ให้พิมพ์ด้วยตัวอักษรภาษาอังกฤษตัวพิมพ์ใหญ่ (Capital Letters) ทั้งหมด,"ปกในภาษาอังกฤษ, ตัวพิมพ์ใหญ่, Capital Letters","พิมพ์ใหญ่, ตัวอักษรปก",ภาคผนวก ก หน้า 68
313,"คำว่า ""ลิขสิทธิ์ของมหาวิทยาลัย..."" บนปกในภาษาอังกฤษ ต้องพิมพ์ว่าอะไรคะ","ให้ใช้ข้อความว่า ""COPYRIGHT OF KING MONGKUT'S UNIVERSITY OF TECHNOLOGY NORTH BANGKOK"" ","ลิขสิทธิ์, ปกในภาษาอังกฤษ, COPYRIGHT","ก๊อปปี้ไรท์, ลิขสิท",ภาคผนวก ก หน้า 68
314,ในใบรับรองวิทยานิพนธ์ ตำแหน่งของกรรมการต้องเขียนย่อหรือเต็มครับ,ต้องพิมพ์ตำแหน่งทางวิชาการเต็มครับ เช่น ศาสตราจารย์ รองศาสตราจารย์ ผู้ช่วยศาสตราจารย์ หรือ อาจารย์ เป็นต้น,"ใบรับรองวิทยานิพนธ์, ตำแหน่งทางวิชาการ, กรรมการสอบ","ตำแหน่งเต็ม, คำนำหน้า",ภาคผนวก ก หน้า 70
315,ใบรับรองวิทยานิพนธ์ภาษาอังกฤษ ตำแหน่งประธานกรรมการ ใช้คำว่าอะไรคะ,"สำหรับตำแหน่งประธานกรรมการในภาษาอังกฤษ ให้ใช้คำว่า ""Chairperson"" ","ใบรับรองวิทยานิพนธ์, ภาษาอังกฤษ, ประธานกรรมการ, Chairperson","ประธาน, แชร์เพอสัน",ภาคผนวก ก หน้า 78
316,ตำแหน่งกรรมการ ในใบรับรองภาษาอังกฤษ ใช้คำว่าอะไรครับ,"สำหรับตำแหน่งกรรมการในภาษาอังกฤษ ให้ใช้คำว่า ""Member"" ","ใบรับรองวิทยานิพนธ์, ภาษาอังกฤษ, กรรมการ, Member","เมมเบอร์, กรรมการสอบ",ภาคผนวก ก หน้า 78
317,คณบดีบัณฑิตวิทยาลัย ในใบรับรองภาษาอังกฤษ ใช้คำว่าอะไรคะ,"สำหรับตำแหน่งคณบดีบัณฑิตวิทยาลัยในภาษาอังกฤษ ให้ใช้คำว่า ""Dean, Graduate College"" ","ใบรับรองวิทยานิพนธ์, ภาษาอังกฤษ, คณบดีบัณฑิตวิทยาลัย, Dean","คณบดี, ดีน",ภาคผนวก ก หน้า 78
318,บทคัดย่อภาษาไทย ต้องมีลายเซ็นของใครบ้างครับ,ต้องมีลายมือชื่อของอาจารย์ที่ปรึกษาวิทยานิพนธ์หลัก โดยลงนามด้วยปากกาหมึกสีดำ,"บทคัดย่อ, ลายเซ็น, อาจารย์ที่ปรึกษา, หมึกสีดำ","เซ็นชื่อ, ลายมือชื่อ",บทที่ 2 หน้า 9
